,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime
742,CORnet_Z,transfer,classify,0.001,3,chair,4,both,176,211,0.8341232227488151,,,
738,CORnet_Z,transfer,classify,0.001,3,chair,5,both,99,127,0.7795275590551181,,,
743,CORnet_Z,transfer,classify,0.001,3,chair,6,both,71,84,0.8452380952380952,,,
740,CORnet_Z,transfer,classify,0.001,3,chair,7,both,43,56,0.7678571428571429,,,
748,CORnet_Z,transfer,classify,0.001,3,chair,8,both,35,43,0.813953488372093,,,
746,CORnet_Z,transfer,classify,0.001,3,chair,9,both,24,27,0.8888888888888888,,,
806,CORnet_Z,transfer,classify,0.001,4,chair,1,both,1195,1233,0.9691808596918086,,,
805,CORnet_Z,transfer,classify,0.001,4,chair,2,both,588,655,0.8977099236641222,,,
808,CORnet_Z,transfer,classify,0.001,4,chair,3,both,310,355,0.8732394366197183,,,
811,CORnet_Z,transfer,classify,0.001,4,chair,4,both,177,211,0.8388625592417062,,,
807,CORnet_Z,transfer,classify,0.001,4,chair,5,both,98,127,0.7716535433070866,,,
812,CORnet_Z,transfer,classify,0.001,4,chair,6,both,68,84,0.8095238095238095,,,
809,CORnet_Z,transfer,classify,0.001,4,chair,7,both,45,56,0.8035714285714286,,,
817,CORnet_Z,transfer,classify,0.001,4,chair,8,both,36,43,0.8372093023255814,,,
815,CORnet_Z,transfer,classify,0.001,4,chair,9,both,24,27,0.8888888888888888,,,
323,VGG16,transfer,classify,0.001,1,chair,1,both,1209,1233,0.9805352798053528,,,
322,VGG16,transfer,classify,0.001,1,chair,2,both,600,655,0.916030534351145,,,
325,VGG16,transfer,classify,0.001,1,chair,3,both,319,355,0.8985915492957747,,,
328,VGG16,transfer,classify,0.001,1,chair,4,both,186,211,0.8815165876777251,,,
324,VGG16,transfer,classify,0.001,1,chair,5,both,104,127,0.8188976377952756,,,
329,VGG16,transfer,classify,0.001,1,chair,6,both,72,84,0.8571428571428571,,,
326,VGG16,transfer,classify,0.001,1,chair,7,both,48,56,0.8571428571428571,,,
334,VGG16,transfer,classify,0.001,1,chair,8,both,41,43,0.9534883720930232,,,
332,VGG16,transfer,classify,0.001,1,chair,9,both,24,27,0.8888888888888888,,,
392,VGG16,transfer,classify,0.001,2,chair,1,both,1212,1233,0.9829683698296836,,,
391,VGG16,transfer,classify,0.001,2,chair,2,both,604,655,0.9221374045801528,,,
394,VGG16,transfer,classify,0.001,2,chair,3,both,320,355,0.9014084507042254,,,
397,VGG16,transfer,classify,0.001,2,chair,4,both,187,211,0.8862559241706162,,,
393,VGG16,transfer,classify,0.001,2,chair,5,both,105,127,0.8267716535433071,,,
398,VGG16,transfer,classify,0.001,2,chair,6,both,72,84,0.8571428571428571,,,
395,VGG16,transfer,classify,0.001,2,chair,7,both,49,56,0.875,,,
403,VGG16,transfer,classify,0.001,2,chair,8,both,38,43,0.8837209302325582,,,
401,VGG16,transfer,classify,0.001,2,chair,9,both,26,27,0.9629629629629628,,,
461,VGG16,transfer,classify,0.001,3,chair,1,both,1210,1233,0.981346309813463,,,
460,VGG16,transfer,classify,0.001,3,chair,2,both,605,655,0.9236641221374046,,,
463,VGG16,transfer,classify,0.001,3,chair,3,both,322,355,0.9070422535211268,,,
466,VGG16,transfer,classify,0.001,3,chair,4,both,186,211,0.8815165876777251,,,
462,VGG16,transfer,classify,0.001,3,chair,5,both,108,127,0.8503937007874016,,,
467,VGG16,transfer,classify,0.001,3,chair,6,both,72,84,0.8571428571428571,,,
464,VGG16,transfer,classify,0.001,3,chair,7,both,48,56,0.8571428571428571,,,
472,VGG16,transfer,classify,0.001,3,chair,8,both,39,43,0.9069767441860463,,,
470,VGG16,transfer,classify,0.001,3,chair,9,both,24,27,0.8888888888888888,,,
530,VGG16,transfer,classify,0.001,4,chair,1,both,1210,1233,0.981346309813463,,,
529,VGG16,transfer,classify,0.001,4,chair,2,both,603,655,0.9206106870229008,,,
532,VGG16,transfer,classify,0.001,4,chair,3,both,320,355,0.9014084507042254,,,
535,VGG16,transfer,classify,0.001,4,chair,4,both,189,211,0.8957345971563981,,,
531,VGG16,transfer,classify,0.001,4,chair,5,both,108,127,0.8503937007874016,,,
536,VGG16,transfer,classify,0.001,4,chair,6,both,71,84,0.8452380952380952,,,
533,VGG16,transfer,classify,0.001,4,chair,7,both,51,56,0.9107142857142856,,,
541,VGG16,transfer,classify,0.001,4,chair,8,both,39,43,0.9069767441860463,,,
539,VGG16,transfer,classify,0.001,4,chair,9,both,24,27,0.8888888888888888,,,
47,alexnet,transfer,classify,0.001,1,chair,1,both,1208,1233,0.9797242497972424,,,
46,alexnet,transfer,classify,0.001,1,chair,2,both,594,655,0.9068702290076336,,,
49,alexnet,transfer,classify,0.001,1,chair,3,both,318,355,0.895774647887324,,,
52,alexnet,transfer,classify,0.001,1,chair,4,both,183,211,0.8672985781990521,,,
48,alexnet,transfer,classify,0.001,1,chair,5,both,101,127,0.7952755905511811,,,
53,alexnet,transfer,classify,0.001,1,chair,6,both,67,84,0.7976190476190477,,,
50,alexnet,transfer,classify,0.001,1,chair,7,both,47,56,0.8392857142857143,,,
58,alexnet,transfer,classify,0.001,1,chair,8,both,37,43,0.8604651162790697,,,
56,alexnet,transfer,classify,0.001,1,chair,9,both,26,27,0.9629629629629628,,,
116,alexnet,transfer,classify,0.001,2,chair,1,both,1209,1233,0.9805352798053528,,,
115,alexnet,transfer,classify,0.001,2,chair,2,both,593,655,0.9053435114503816,,,
118,alexnet,transfer,classify,0.001,2,chair,3,both,318,355,0.895774647887324,,,
121,alexnet,transfer,classify,0.001,2,chair,4,both,183,211,0.8672985781990521,,,
117,alexnet,transfer,classify,0.001,2,chair,5,both,105,127,0.8267716535433071,,,
122,alexnet,transfer,classify,0.001,2,chair,6,both,67,84,0.7976190476190477,,,
119,alexnet,transfer,classify,0.001,2,chair,7,both,45,56,0.8035714285714286,,,
127,alexnet,transfer,classify,0.001,2,chair,8,both,37,43,0.8604651162790697,,,
125,alexnet,transfer,classify,0.001,2,chair,9,both,24,27,0.8888888888888888,,,
185,alexnet,transfer,classify,0.001,3,chair,1,both,1207,1233,0.978913219789132,,,
184,alexnet,transfer,classify,0.001,3,chair,2,both,587,655,0.8961832061068702,,,
187,alexnet,transfer,classify,0.001,3,chair,3,both,315,355,0.8873239436619719,,,
190,alexnet,transfer,classify,0.001,3,chair,4,both,181,211,0.8578199052132701,,,
186,alexnet,transfer,classify,0.001,3,chair,5,both,106,127,0.8346456692913385,,,
191,alexnet,transfer,classify,0.001,3,chair,6,both,70,84,0.8333333333333334,,,
188,alexnet,transfer,classify,0.001,3,chair,7,both,47,56,0.8392857142857143,,,
196,alexnet,transfer,classify,0.001,3,chair,8,both,38,43,0.8837209302325582,,,
194,alexnet,transfer,classify,0.001,3,chair,9,both,23,27,0.8518518518518519,,,
254,alexnet,transfer,classify,0.001,4,chair,1,both,1204,1233,0.9764801297648013,,,
253,alexnet,transfer,classify,0.001,4,chair,2,both,592,655,0.9038167938931296,,,
256,alexnet,transfer,classify,0.001,4,chair,3,both,316,355,0.8901408450704226,,,
259,alexnet,transfer,classify,0.001,4,chair,4,both,185,211,0.8767772511848341,,,
255,alexnet,transfer,classify,0.001,4,chair,5,both,105,127,0.8267716535433071,,,
260,alexnet,transfer,classify,0.001,4,chair,6,both,71,84,0.8452380952380952,,,
257,alexnet,transfer,classify,0.001,4,chair,7,both,47,56,0.8392857142857143,,,
265,alexnet,transfer,classify,0.001,4,chair,8,both,36,43,0.8372093023255814,,,
263,alexnet,transfer,classify,0.001,4,chair,9,both,25,27,0.925925925925926,,,
875,CORnet_S,transfer,classify,0.001,1,person,1,both,1169,1233,0.9480940794809408,,,
874,CORnet_S,transfer,classify,0.001,1,person,2,both,564,655,0.8610687022900764,,,
877,CORnet_S,transfer,classify,0.001,1,person,3,both,295,355,0.8309859154929577,,,
880,CORnet_S,transfer,classify,0.001,1,person,4,both,183,211,0.8672985781990521,,,
876,CORnet_S,transfer,classify,0.001,1,person,5,both,98,127,0.7716535433070866,,,
881,CORnet_S,transfer,classify,0.001,1,person,6,both,74,84,0.8809523809523809,,,
878,CORnet_S,transfer,classify,0.001,1,person,7,both,45,56,0.8035714285714286,,,
886,CORnet_S,transfer,classify,0.001,1,person,8,both,40,43,0.9302325581395348,,,
884,CORnet_S,transfer,classify,0.001,1,person,9,both,20,27,0.7407407407407407,,,
944,CORnet_S,transfer,classify,0.001,2,person,1,both,1174,1233,0.9521492295214924,,,
943,CORnet_S,transfer,classify,0.001,2,person,2,both,559,655,0.8534351145038168,,,
946,CORnet_S,transfer,classify,0.001,2,person,3,both,291,355,0.819718309859155,,,
949,CORnet_S,transfer,classify,0.001,2,person,4,both,184,211,0.8720379146919431,,,
945,CORnet_S,transfer,classify,0.001,2,person,5,both,98,127,0.7716535433070866,,,
950,CORnet_S,transfer,classify,0.001,2,person,6,both,72,84,0.8571428571428571,,,
947,CORnet_S,transfer,classify,0.001,2,person,7,both,47,56,0.8392857142857143,,,
955,CORnet_S,transfer,classify,0.001,2,person,8,both,39,43,0.9069767441860463,,,
953,CORnet_S,transfer,classify,0.001,2,person,9,both,19,27,0.7037037037037037,,,
1013,CORnet_S,transfer,classify,0.001,3,person,1,both,1177,1233,0.9545823195458232,,,
1012,CORnet_S,transfer,classify,0.001,3,person,2,both,555,655,0.8473282442748091,,,
1015,CORnet_S,transfer,classify,0.001,3,person,3,both,295,355,0.8309859154929577,,,
1018,CORnet_S,transfer,classify,0.001,3,person,4,both,182,211,0.8625592417061612,,,
1014,CORnet_S,transfer,classify,0.001,3,person,5,both,100,127,0.7874015748031497,,,
1019,CORnet_S,transfer,classify,0.001,3,person,6,both,74,84,0.8809523809523809,,,
1016,CORnet_S,transfer,classify,0.001,3,person,7,both,44,56,0.7857142857142857,,,
1024,CORnet_S,transfer,classify,0.001,3,person,8,both,39,43,0.9069767441860463,,,
1022,CORnet_S,transfer,classify,0.001,3,person,9,both,22,27,0.8148148148148148,,,
1082,CORnet_S,transfer,classify,0.001,4,person,1,both,1178,1233,0.9553933495539336,,,
1081,CORnet_S,transfer,classify,0.001,4,person,2,both,549,655,0.8381679389312977,,,
1084,CORnet_S,transfer,classify,0.001,4,person,3,both,291,355,0.819718309859155,,,
1087,CORnet_S,transfer,classify,0.001,4,person,4,both,181,211,0.8578199052132701,,,
1083,CORnet_S,transfer,classify,0.001,4,person,5,both,98,127,0.7716535433070866,,,
1088,CORnet_S,transfer,classify,0.001,4,person,6,both,72,84,0.8571428571428571,,,
1085,CORnet_S,transfer,classify,0.001,4,person,7,both,45,56,0.8035714285714286,,,
1093,CORnet_S,transfer,classify,0.001,4,person,8,both,39,43,0.9069767441860463,,,
1091,CORnet_S,transfer,classify,0.001,4,person,9,both,18,27,0.6666666666666666,,,
599,CORnet_Z,transfer,classify,0.001,1,person,1,both,1143,1233,0.927007299270073,,,
598,CORnet_Z,transfer,classify,0.001,1,person,2,both,518,655,0.7908396946564885,,,
601,CORnet_Z,transfer,classify,0.001,1,person,3,both,279,355,0.7859154929577464,,,
604,CORnet_Z,transfer,classify,0.001,1,person,4,both,170,211,0.8056872037914692,,,
600,CORnet_Z,transfer,classify,0.001,1,person,5,both,95,127,0.7480314960629921,,,
605,CORnet_Z,transfer,classify,0.001,1,person,6,both,67,84,0.7976190476190477,,,
602,CORnet_Z,transfer,classify,0.001,1,person,7,both,48,56,0.8571428571428571,,,
610,CORnet_Z,transfer,classify,0.001,1,person,8,both,41,43,0.9534883720930232,,,
608,CORnet_Z,transfer,classify,0.001,1,person,9,both,16,27,0.5925925925925926,,,
668,CORnet_Z,transfer,classify,0.001,2,person,1,both,1154,1233,0.9359286293592864,,,
667,CORnet_Z,transfer,classify,0.001,2,person,2,both,529,655,0.8076335877862595,,,
