net_name,net_number,stimulus,set_size_1_acc,set_size_8_acc,set_size_1_err,set_size_effect,set_size_1_err_plus_effect
CORnet_Z,2,YT_v_BTBL,99.375,84.375,0.625,15.0,15.625
CORnet_Z,2,Bx_v_RxBo,99.375,81.25,0.625,18.125,18.75
CORnet_Z,2,Bx_v_RxRo,100.0,85.0,0.0,15.0,15.0
CORnet_Z,2,TvT,100.0,76.25,0.0,23.75,23.75
CORnet_Z,3,RVvGV,100.0,80.625,0.0,19.375,19.375
CORnet_Z,3,RVvRHGV,100.0,73.75,0.0,26.25,26.25
CORnet_Z,3,PWVvCV,96.25,64.375,3.75,31.875,35.625
CORnet_Z,3,PWVvPWHCV,98.75,66.875,1.25,31.875,33.125
CORnet_Z,3,2_v_5,69.375,60.0,30.625,9.375,40.0
CORnet_Z,3,YT_v_BTYL,97.5,75.0,2.5,22.5,25.0
CORnet_Z,3,YT_v_BTBL,99.375,83.125,0.625,16.25,16.875
CORnet_Z,3,Bx_v_RxBo,99.375,80.625,0.625,18.75,19.375
CORnet_Z,3,Bx_v_RxRo,100.0,85.625,0.0,14.375,14.375
CORnet_Z,3,TvT,100.0,78.75,0.0,21.25,21.25
CORnet_Z,4,RVvGV,100.0,86.875,0.0,13.125,13.125
CORnet_Z,4,RVvRHGV,100.0,75.625,0.0,24.375,24.375
CORnet_Z,4,PWVvCV,97.5,59.375,2.5,38.125,40.625
CORnet_Z,4,PWVvPWHCV,98.75,71.875,1.25,26.875,28.125
CORnet_Z,4,2_v_5,71.25,56.875,28.75,14.375,43.125
CORnet_Z,4,YT_v_BTYL,98.125,76.25,1.875,21.875,23.75
CORnet_Z,4,YT_v_BTBL,99.375,81.875,0.625,17.5,18.125
CORnet_Z,4,Bx_v_RxBo,99.375,81.25,0.625,18.125,18.75
CORnet_Z,4,Bx_v_RxRo,100.0,86.875,0.0,13.125,13.125
CORnet_Z,4,TvT,100.0,73.125,0.0,26.875,26.875
CORnet_Z,5,RVvGV,100.0,85.0,0.0,15.0,15.0
CORnet_Z,5,RVvRHGV,100.0,70.625,0.0,29.375,29.375
CORnet_Z,5,PWVvCV,96.25,61.25000000000001,3.75,34.99999999999999,38.74999999999999
CORnet_Z,5,PWVvPWHCV,98.75,67.5,1.25,31.25,32.5
CORnet_Z,5,2_v_5,68.125,58.12500000000001,31.875,9.999999999999993,41.87499999999999
CORnet_Z,5,YT_v_BTYL,98.75,74.375,1.25,24.375,25.625
CORnet_Z,5,YT_v_BTBL,99.375,83.75,0.625,15.625,16.25
CORnet_Z,5,Bx_v_RxBo,99.375,78.75,0.625,20.625,21.25
CORnet_Z,5,Bx_v_RxRo,100.0,83.75,0.0,16.25,16.25
CORnet_Z,5,TvT,100.0,70.0,0.0,30.0,30.0
CORnet_Z,6,RVvGV,100.0,83.75,0.0,16.25,16.25
CORnet_Z,6,RVvRHGV,100.0,75.0,0.0,25.0,25.0
CORnet_Z,6,PWVvCV,96.875,60.0,3.125,36.875,40.0
CORnet_Z,6,PWVvPWHCV,98.75,70.0,1.25,28.75,30.0
CORnet_Z,6,2_v_5,73.125,62.5,26.875,10.625,37.5
CORnet_Z,6,YT_v_BTYL,98.125,76.25,1.875,21.875,23.75
CORnet_Z,6,YT_v_BTBL,99.375,83.125,0.625,16.25,16.875
CORnet_Z,6,Bx_v_RxBo,99.375,81.875,0.625,17.5,18.125
CORnet_Z,6,Bx_v_RxRo,100.0,86.25,0.0,13.75,13.75
CORnet_Z,6,TvT,100.0,76.25,0.0,23.75,23.75
