,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,greenness,discrim_pct
2936,alexnet,transfer,classify,0.001,3,RVvGV_93,1,both,484,512,0.9453125,,,,search stimuli (classify),0,93,0.6352941176470588
2937,alexnet,transfer,classify,0.001,3,RVvGV_93,2,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2938,alexnet,transfer,classify,0.001,3,RVvGV_93,4,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2939,alexnet,transfer,classify,0.001,3,RVvGV_93,8,both,512,512,1.0,,,,search stimuli (classify),0,93,0.6352941176470588
2948,alexnet,transfer,classify,0.001,3,RVvGV_116,1,both,361,512,0.705078125,,,,search stimuli (classify),0,116,0.5450980392156863
2949,alexnet,transfer,classify,0.001,3,RVvGV_116,2,both,508,512,0.9921875,,,,search stimuli (classify),0,116,0.5450980392156863
2950,alexnet,transfer,classify,0.001,3,RVvGV_116,4,both,510,512,0.99609375,,,,search stimuli (classify),0,116,0.5450980392156863
2951,alexnet,transfer,classify,0.001,3,RVvGV_116,8,both,507,512,0.990234375,,,,search stimuli (classify),0,116,0.5450980392156863
2960,alexnet,transfer,classify,0.001,3,RVvGV_139,1,both,312,512,0.609375,,,,search stimuli (classify),0,139,0.4549019607843138
2961,alexnet,transfer,classify,0.001,3,RVvGV_139,2,both,450,512,0.87890625,,,,search stimuli (classify),0,139,0.4549019607843138
2962,alexnet,transfer,classify,0.001,3,RVvGV_139,4,both,442,512,0.86328125,,,,search stimuli (classify),0,139,0.4549019607843138
2963,alexnet,transfer,classify,0.001,3,RVvGV_139,8,both,440,512,0.859375,,,,search stimuli (classify),0,139,0.4549019607843138
2972,alexnet,transfer,classify,0.001,3,RVvGV_162,1,both,283,512,0.552734375,,,,search stimuli (classify),0,162,0.3647058823529412
2973,alexnet,transfer,classify,0.001,3,RVvGV_162,2,both,336,512,0.65625,,,,search stimuli (classify),0,162,0.3647058823529412
2974,alexnet,transfer,classify,0.001,3,RVvGV_162,4,both,328,512,0.640625,,,,search stimuli (classify),0,162,0.3647058823529412
2975,alexnet,transfer,classify,0.001,3,RVvGV_162,8,both,314,512,0.61328125,,,,search stimuli (classify),0,162,0.3647058823529412
