,net_name,method,source_dataset,net_number,set_size,alpha,alpha_cov,beta,beta_cov,threshold_acc,discrim_threshold,log_set_size,log_discrim_threshold
111,alexnet,transfer,"DomainNet, Clipart domain",4,8,0.805423385557367,2.4821247487322955e-06,0.058579558471143295,1.9247207633652203e-06,0.75,0.8058058058058059,0.9030899869919435,-0.09376960785811377
112,alexnet,transfer,"DomainNet, Clipart domain",5,1,0.763047944791817,0.00021788592021557162,0.07904911315287433,0.00016936661564588077,0.75,0.7627627627627628,0.0,-0.1176105168863818
113,alexnet,transfer,"DomainNet, Clipart domain",5,2,0.745253963308071,1.1460317250102508e-07,0.03779896983786687,9.398816855352856e-08,0.75,0.7457457457457457,0.3010299956639812,-0.1274092154776895
114,alexnet,transfer,"DomainNet, Clipart domain",5,4,0.7456810562751709,8.621097945979396e-07,0.0444630050015997,6.711457164403568e-07,0.75,0.7457457457457457,0.6020599913279624,-0.1274092154776895
115,alexnet,transfer,"DomainNet, Clipart domain",5,8,0.7511795855122548,1.4697788176450213e-06,0.05576960653849529,1.1058277259740156e-06,0.75,0.7507507507507507,0.9030899869919435,-0.12450422483428228
116,alexnet,transfer,"DomainNet, Clipart domain",6,1,0.7855290751109982,5.88095987834958e-05,0.053926741921556796,4.3300591076993356e-05,0.75,0.7857857857857857,0.0,-0.10469583148072979
117,alexnet,transfer,"DomainNet, Clipart domain",6,2,0.7874906552180251,2.2520494478991976e-06,0.03876016125267702,1.4586475902038511e-06,0.75,0.7877877877877878,0.3010299956639812,-0.10359075586691774
118,alexnet,transfer,"DomainNet, Clipart domain",6,4,0.8333602441569472,1.4320389759035902e-06,0.038700208839298963,1.322593408540584e-06,0.75,0.8338338338338338,0.6020599913279624,-0.07892048681919474
119,alexnet,transfer,"DomainNet, Clipart domain",6,8,0.8481684140215533,6.084101717479251e-06,0.05866085395770115,4.878030866778631e-06,0.75,0.8478478478478478,0.9030899869919435,-0.0716820778952754
120,alexnet,transfer,"DomainNet, Clipart domain",7,1,0.7671374614822322,0.00015804060253607556,0.07170117561215353,0.00012111848263063655,0.75,0.7667667667667668,0.0,-0.11533671859337837
