,net_name,method,mode,learning_rate,net_number,stimulus,set_size,target_condition,n_correct,n_trials,accuracy,hit_rate,false_alarm_rate,d_prime,source_dataset,method_source_dataset,rotation,discrim_pct
1114,alexnet,initialize,classify,0.001,4,TvT_65,4,both,511,512,0.998046875,,,,None,0,65,0.7222222222222222
1115,alexnet,initialize,classify,0.001,4,TvT_65,8,both,506,512,0.98828125,,,,None,0,65,0.7222222222222222
1124,alexnet,initialize,classify,0.001,4,TvT_74,1,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1125,alexnet,initialize,classify,0.001,4,TvT_74,2,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1126,alexnet,initialize,classify,0.001,4,TvT_74,4,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1127,alexnet,initialize,classify,0.001,4,TvT_74,8,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1136,alexnet,initialize,classify,0.001,4,TvT_82,1,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1137,alexnet,initialize,classify,0.001,4,TvT_82,2,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1138,alexnet,initialize,classify,0.001,4,TvT_82,4,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1139,alexnet,initialize,classify,0.001,4,TvT_82,8,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1148,alexnet,initialize,classify,0.001,4,TvT_90,1,both,512,512,1.0,,,,None,0,90,1.0
1149,alexnet,initialize,classify,0.001,4,TvT_90,2,both,512,512,1.0,,,,None,0,90,1.0
1150,alexnet,initialize,classify,0.001,4,TvT_90,4,both,512,512,1.0,,,,None,0,90,1.0
1151,alexnet,initialize,classify,0.001,4,TvT_90,8,both,512,512,1.0,,,,None,0,90,1.0
1304,alexnet,initialize,classify,0.001,5,TvT_4,1,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1305,alexnet,initialize,classify,0.001,5,TvT_4,2,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1306,alexnet,initialize,classify,0.001,5,TvT_4,4,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1307,alexnet,initialize,classify,0.001,5,TvT_4,8,both,256,512,0.5,,,,None,0,4,0.044444444444444446
1316,alexnet,initialize,classify,0.001,5,TvT_8,1,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1317,alexnet,initialize,classify,0.001,5,TvT_8,2,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1318,alexnet,initialize,classify,0.001,5,TvT_8,4,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1319,alexnet,initialize,classify,0.001,5,TvT_8,8,both,256,512,0.5,,,,None,0,8,0.08888888888888889
1328,alexnet,initialize,classify,0.001,5,TvT_16,1,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1329,alexnet,initialize,classify,0.001,5,TvT_16,2,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1330,alexnet,initialize,classify,0.001,5,TvT_16,4,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1331,alexnet,initialize,classify,0.001,5,TvT_16,8,both,256,512,0.5,,,,None,0,16,0.17777777777777778
1340,alexnet,initialize,classify,0.001,5,TvT_25,1,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1341,alexnet,initialize,classify,0.001,5,TvT_25,2,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1342,alexnet,initialize,classify,0.001,5,TvT_25,4,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1343,alexnet,initialize,classify,0.001,5,TvT_25,8,both,256,512,0.5,,,,None,0,25,0.2777777777777778
1352,alexnet,initialize,classify,0.001,5,TvT_33,1,both,257,512,0.501953125,,,,None,0,33,0.36666666666666664
1353,alexnet,initialize,classify,0.001,5,TvT_33,2,both,257,512,0.501953125,,,,None,0,33,0.36666666666666664
1354,alexnet,initialize,classify,0.001,5,TvT_33,4,both,256,512,0.5,,,,None,0,33,0.36666666666666664
1355,alexnet,initialize,classify,0.001,5,TvT_33,8,both,256,512,0.5,,,,None,0,33,0.36666666666666664
1364,alexnet,initialize,classify,0.001,5,TvT_41,1,both,264,512,0.515625,,,,None,0,41,0.45555555555555555
1365,alexnet,initialize,classify,0.001,5,TvT_41,2,both,258,512,0.50390625,,,,None,0,41,0.45555555555555555
1366,alexnet,initialize,classify,0.001,5,TvT_41,4,both,258,512,0.50390625,,,,None,0,41,0.45555555555555555
1367,alexnet,initialize,classify,0.001,5,TvT_41,8,both,257,512,0.501953125,,,,None,0,41,0.45555555555555555
1376,alexnet,initialize,classify,0.001,5,TvT_49,1,both,355,512,0.693359375,,,,None,0,49,0.5444444444444444
1377,alexnet,initialize,classify,0.001,5,TvT_49,2,both,337,512,0.658203125,,,,None,0,49,0.5444444444444444
1378,alexnet,initialize,classify,0.001,5,TvT_49,4,both,308,512,0.6015625,,,,None,0,49,0.5444444444444444
1379,alexnet,initialize,classify,0.001,5,TvT_49,8,both,286,512,0.55859375,,,,None,0,49,0.5444444444444444
1388,alexnet,initialize,classify,0.001,5,TvT_57,1,both,509,512,0.994140625,,,,None,0,57,0.6333333333333333
1389,alexnet,initialize,classify,0.001,5,TvT_57,2,both,504,512,0.984375,,,,None,0,57,0.6333333333333333
1390,alexnet,initialize,classify,0.001,5,TvT_57,4,both,491,512,0.958984375,,,,None,0,57,0.6333333333333333
1391,alexnet,initialize,classify,0.001,5,TvT_57,8,both,460,512,0.8984375,,,,None,0,57,0.6333333333333333
1400,alexnet,initialize,classify,0.001,5,TvT_65,1,both,512,512,1.0,,,,None,0,65,0.7222222222222222
1401,alexnet,initialize,classify,0.001,5,TvT_65,2,both,512,512,1.0,,,,None,0,65,0.7222222222222222
1402,alexnet,initialize,classify,0.001,5,TvT_65,4,both,512,512,1.0,,,,None,0,65,0.7222222222222222
1403,alexnet,initialize,classify,0.001,5,TvT_65,8,both,503,512,0.982421875,,,,None,0,65,0.7222222222222222
1412,alexnet,initialize,classify,0.001,5,TvT_74,1,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1413,alexnet,initialize,classify,0.001,5,TvT_74,2,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1414,alexnet,initialize,classify,0.001,5,TvT_74,4,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1415,alexnet,initialize,classify,0.001,5,TvT_74,8,both,512,512,1.0,,,,None,0,74,0.8222222222222222
1424,alexnet,initialize,classify,0.001,5,TvT_82,1,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1425,alexnet,initialize,classify,0.001,5,TvT_82,2,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1426,alexnet,initialize,classify,0.001,5,TvT_82,4,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1427,alexnet,initialize,classify,0.001,5,TvT_82,8,both,512,512,1.0,,,,None,0,82,0.9111111111111111
1436,alexnet,initialize,classify,0.001,5,TvT_90,1,both,512,512,1.0,,,,None,0,90,1.0
1437,alexnet,initialize,classify,0.001,5,TvT_90,2,both,512,512,1.0,,,,None,0,90,1.0
1438,alexnet,initialize,classify,0.001,5,TvT_90,4,both,512,512,1.0,,,,None,0,90,1.0
