method,mode,loss_func,net_name,replicate,vsd_score_bin,acc,n_trials,pred
transfer,classify,CE-largest,VGG16,4,2.0,0.68,25,0.741903293991525
transfer,classify,CE-largest,VGG16,4,3.0,0.8333333333333334,6,0.6565300524894568
transfer,classify,CE-largest,VGG16,4,4.0,0.5,4,0.5711568109873887
transfer,classify,CE-random,VGG16,4,0.0,0.8778785764131193,1433,0.8436411855133148
transfer,classify,CE-random,VGG16,4,1.0,0.7318840579710145,276,0.8174635228617376
transfer,classify,CE-random,VGG16,4,2.0,0.68,25,0.7912858602101606
transfer,classify,CE-random,VGG16,4,3.0,0.6666666666666666,6,0.7651081975585834
transfer,classify,CE-random,VGG16,4,4.0,1.0,4,0.7389305349070063
initialize,classify,CE-largest,VGG16,5,0.0,0.3859036985345429,1433,0.4040260348716082
initialize,classify,CE-largest,VGG16,5,1.0,0.3079710144927536,276,0.31540048873853377
initialize,classify,CE-largest,VGG16,5,2.0,0.44,25,0.22677494260545938
initialize,classify,CE-largest,VGG16,5,3.0,0.0,6,0.138149396472385
initialize,classify,CE-largest,VGG16,5,4.0,0.0,4,0.049523850339310616
transfer,classify,CE-largest,VGG16,5,0.0,0.889741800418702,1433,0.8607528141023695
transfer,classify,CE-largest,VGG16,5,1.0,0.7536231884057971,276,0.7753795726003013
transfer,classify,CE-largest,VGG16,5,2.0,0.64,25,0.6900063310982332
transfer,classify,CE-largest,VGG16,5,3.0,0.6666666666666666,6,0.604633089596165
transfer,classify,CE-largest,VGG16,5,4.0,0.5,4,0.5192598480940969
transfer,classify,CE-random,VGG16,5,0.0,0.8855547801814375,1433,0.7936981653974128
transfer,classify,CE-random,VGG16,5,1.0,0.7644927536231884,276,0.7675205027458357
transfer,classify,CE-random,VGG16,5,2.0,0.64,25,0.7413428400942585
transfer,classify,CE-random,VGG16,5,3.0,0.6666666666666666,6,0.7151651774426815
transfer,classify,CE-random,VGG16,5,4.0,0.75,4,0.6889875147911043
initialize,classify,CE-largest,VGG16,6,0.0,0.42219120725750175,1433,0.415515420674171
initialize,classify,CE-largest,VGG16,6,1.0,0.322463768115942,276,0.32688987454109664
initialize,classify,CE-largest,VGG16,6,2.0,0.28,25,0.23826432840802222
